date,plant_id,material_id,quantity_consumed
2023-04-01,CLV001,MAT001,153
2023-04-01,CLV001,MAT002,101
2023-04-01,CLV001,MAT003,282
2023-04-01,CLV001,MAT004,98
2023-04-01,CLV001,MAT005,100
2023-04-01,CLV001,MAT006,101
2023-04-01,CLV001,MAT007,128
2023-04-01,CLV001,MAT008,81
2023-04-01,CLV001,MAT009,188
2023-04-01,CLV001,MAT010,198
2023-04-01,CLV001,MAT011,192
2023-04-01,CLV001,MAT012,231
2023-04-01,CLV001,MAT013,90
2023-04-01,CLV001,MAT014,159
2023-04-01,CLV001,MAT015,97
2023-04-01,CLV001,MAT016,164
2023-04-01,CLV001,MAT017,86
2023-04-01,CLV001,MAT018,228
2023-04-01,CLV001,MAT019,129
2023-04-01,CLV001,MAT020,160
2023-04-01,CLV001,MAT021,205
2023-04-01,CLV001,MAT022,175
2023-04-01,CLV001,MAT023,132
2023-04-01,CLV001,MAT024,80
2023-04-01,CLV001,MAT025,155
2023-04-01,CLV001,MAT026,245
2023-04-01,CLV001,MAT027,294
2023-04-01,CLV001,MAT028,99
2023-04-01,CLV001,MAT029,82
2023-04-01,CLV001,MAT030,108
2023-04-01,CLV001,MAT031,132
2023-04-01,CLV001,MAT032,174
2023-04-01,CLV001,MAT033,112
2023-04-01,CLV001,MAT034,141
2023-04-01,CLV001,MAT035,127
2023-04-01,CLV001,MAT036,181
2023-04-01,CLV001,MAT037,240
2023-04-01,CLV001,MAT038,171
2023-04-01,CLV001,MAT039,197
2023-04-01,CLV001,MAT040,103
2023-04-01,CLV001,MAT041,214
2023-04-01,CLV001,MAT042,112
2023-04-01,CLV001,MAT043,70
2023-04-01,CLV001,MAT044,196
2023-04-01,CLV001,MAT045,131
2023-04-01,CLV001,MAT046,100
2023-04-01,CLV001,MAT047,168
2023-04-01,CLV001,MAT048,94
2023-04-01,CLV001,MAT049,219
2023-04-01,CLV001,MAT050,65
2023-04-01,ATL001,MAT001,115
2023-04-01,ATL001,MAT002,171
2023-04-01,ATL001,MAT003,101
2023-04-01,ATL001,MAT004,150
2023-04-01,ATL001,MAT005,135
2023-04-01,ATL001,MAT006,221
2023-04-01,ATL001,MAT007,279
2023-04-01,ATL001,MAT008,175
2023-04-01,ATL001,MAT009,108
2023-04-01,ATL001,MAT010,102
2023-04-01,ATL001,MAT011,128
2023-04-01,ATL001,MAT012,123
2023-04-01,ATL001,MAT013,205
2023-04-01,ATL001,MAT014,197
2023-04-01,ATL001,MAT015,171
2023-04-01,ATL001,MAT016,210
2023-04-01,ATL001,MAT017,125
2023-04-01,ATL001,MAT018,163
2023-04-01,ATL001,MAT019,184
2023-04-01,ATL001,MAT020,104
2023-04-01,ATL001,MAT021,108
2023-04-01,ATL001,MAT022,112
2023-04-01,ATL001,MAT023,187
2023-04-01,ATL001,MAT024,166
2023-04-01,ATL001,MAT025,141
2023-04-01,ATL001,MAT026,165
2023-04-01,ATL001,MAT027,73
2023-04-01,ATL001,MAT028,114
2023-04-01,ATL001,MAT029,150
2023-04-01,ATL001,MAT030,100
2023-04-01,ATL001,MAT031,75
2023-04-01,ATL001,MAT032,118
2023-04-01,ATL001,MAT033,84
2023-04-01,ATL001,MAT034,216
2023-04-01,ATL001,MAT035,172
2023-04-01,ATL001,MAT036,73
2023-04-01,ATL001,MAT037,133
2023-04-01,ATL001,MAT038,172
2023-04-01,ATL001,MAT039,168
2023-04-01,ATL001,MAT040,261
2023-04-01,ATL001,MAT041,196
2023-04-01,ATL001,MAT042,126
2023-04-01,ATL001,MAT043,116
2023-04-01,ATL001,MAT044,122
2023-04-01,ATL001,MAT045,290
2023-04-01,ATL001,MAT046,192
2023-04-01,ATL001,MAT047,132
2023-04-01,ATL001,MAT048,185
2023-04-01,ATL001,MAT049,73
2023-04-01,ATL001,MAT050,115
2023-04-02,CLV001,MAT001,186
2023-04-02,CLV001,MAT002,95
2023-04-02,CLV001,MAT003,223
2023-04-02,CLV001,MAT004,139
2023-04-02,CLV001,MAT005,219
2023-04-02,CLV001,MAT006,125
2023-04-02,CLV001,MAT007,184
2023-04-02,CLV001,MAT008,187
2023-04-02,CLV001,MAT009,188
2023-04-02,CLV001,MAT010,101
2023-04-02,CLV001,MAT011,136
2023-04-02,CLV001,MAT012,116
2023-04-02,CLV001,MAT013,262
2023-04-02,CLV001,MAT014,129
2023-04-02,CLV001,MAT015,242
2023-04-02,CLV001,MAT016,171
2023-04-02,CLV001,MAT017,231
2023-04-02,CLV001,MAT018,126
2023-04-02,CLV001,MAT019,81
2023-04-02,CLV001,MAT020,131
2023-04-02,CLV001,MAT021,139
2023-04-02,CLV001,MAT022,151
2023-04-02,CLV001,MAT023,251
2023-04-02,CLV001,MAT024,179
2023-04-02,CLV001,MAT025,89
2023-04-02,CLV001,MAT026,156
2023-04-02,CLV001,MAT027,103
2023-04-02,CLV001,MAT028,185
2023-04-02,CLV001,MAT029,98
2023-04-02,CLV001,MAT030,226
2023-04-02,CLV001,MAT031,232
2023-04-02,CLV001,MAT032,142
2023-04-02,CLV001,MAT033,111
2023-04-02,CLV001,MAT034,190
2023-04-02,CLV001,MAT035,98
2023-04-02,CLV001,MAT036,90
2023-04-02,CLV001,MAT037,232
2023-04-02,CLV001,MAT038,220
2023-04-02,CLV001,MAT039,161
2023-04-02,CLV001,MAT040,238
2023-04-02,CLV001,MAT041,167
2023-04-02,CLV001,MAT042,258
2023-04-02,CLV001,MAT043,156
2023-04-02,CLV001,MAT044,194
2023-04-02,CLV001,MAT045,199
2023-04-02,CLV001,MAT046,207
2023-04-02,CLV001,MAT047,115
2023-04-02,CLV001,MAT048,111
2023-04-02,CLV001,MAT049,91
2023-04-02,CLV001,MAT050,148
2023-04-02,ATL001,MAT001,146
2023-04-02,ATL001,MAT002,219
2023-04-02,ATL001,MAT003,131
2023-04-02,ATL001,MAT004,229
2023-04-02,ATL001,MAT005,128
2023-04-02,ATL001,MAT006,163
2023-04-02,ATL001,MAT007,65
2023-04-02,ATL001,MAT008,215
2023-04-02,ATL001,MAT009,171
2023-04-02,ATL001,MAT010,286
2023-04-02,ATL001,MAT011,92
2023-04-02,ATL001,MAT012,91
2023-04-02,ATL001,MAT013,242
2023-04-02,ATL001,MAT014,197
2023-04-02,ATL001,MAT015,98
2023-04-02,ATL001,MAT016,68
2023-04-02,ATL001,MAT017,279
2023-04-02,ATL001,MAT018,56
2023-04-02,ATL001,MAT019,92
2023-04-02,ATL001,MAT020,153
2023-04-02,ATL001,MAT021,232
2023-04-02,ATL001,MAT022,240
2023-04-02,ATL001,MAT023,216
2023-04-02,ATL001,MAT024,220
2023-04-02,ATL001,MAT025,141
2023-04-02,ATL001,MAT026,117
2023-04-02,ATL001,MAT027,167
2023-04-02,ATL001,MAT028,214
2023-04-02,ATL001,MAT029,276
2023-04-02,ATL001,MAT030,243
2023-04-02,ATL001,MAT031,89
2023-04-02,ATL001,MAT032,69
2023-04-02,ATL001,MAT033,202
2023-04-02,ATL001,MAT034,240
2023-04-02,ATL001,MAT035,68
2023-04-02,ATL001,MAT036,219
2023-04-02,ATL001,MAT037,96
2023-04-02,ATL001,MAT038,90
2023-04-02,ATL001,MAT039,79
2023-04-02,ATL001,MAT040,126
2023-04-02,ATL001,MAT041,155
2023-04-02,ATL001,MAT042,251
2023-04-02,ATL001,MAT043,139
2023-04-02,ATL001,MAT044,55
2023-04-02,ATL001,MAT045,145
2023-04-02,ATL001,MAT046,236
2023-04-02,ATL001,MAT047,164
