date,plant_id,material_id,quantity_on_hand
2023-06-30,CLV001,MAT001,5227
2023-06-30,CLV001,MAT002,14930
2023-06-30,CLV001,MAT003,6050
2023-06-30,CLV001,MAT004,5081
2023-06-30,CLV001,MAT005,3827
2023-06-30,CLV001,MAT006,8586
2023-06-30,CLV001,MAT007,3271
2023-06-30,CLV001,MAT008,13009
2023-06-30,CLV001,MAT009,2547
2023-06-30,CLV001,MAT010,1374
2023-06-30,CLV001,MAT011,15304
2023-06-30,CLV001,MAT012,8583
2023-06-30,CLV001,MAT013,8664
2023-06-30,CLV001,MAT014,24524
2023-06-30,CLV001,MAT015,6744
2023-06-30,CLV001,MAT016,17015
2023-06-30,CLV001,MAT017,4957
2023-06-30,CLV001,MAT018,23117
2023-06-30,CLV001,MAT019,11094
2023-06-30,CLV001,MAT020,10882
2023-06-30,CLV001,MAT021,8164
2023-06-30,CLV001,MAT022,5791
2023-06-30,CLV001,MAT023,13579
2023-06-30,CLV001,MAT024,12330
2023-06-30,CLV001,MAT025,618
2023-06-30,CLV001,MAT026,1310
2023-06-30,CLV001,MAT027,9083
2023-06-30,CLV001,MAT028,16031
2023-06-30,CLV001,MAT029,3491
2023-06-30,CLV001,MAT030,4336
2023-06-30,CLV001,MAT031,5324
2023-06-30,CLV001,MAT032,17061
2023-06-30,CLV001,MAT033,4821
2023-06-30,CLV001,MAT034,5628
2023-06-30,CLV001,MAT035,4794
2023-06-30,CLV001,MAT036,7206
2023-06-30,CLV001,MAT037,2583
2023-06-30,CLV001,MAT038,10318
2023-06-30,CLV001,MAT039,1218
2023-06-30,CLV001,MAT040,3810
2023-06-30,CLV001,MAT041,9444
2023-06-30,CLV001,MAT042,234
2023-06-30,CLV001,MAT043,8569
2023-06-30,CLV001,MAT044,12523
2023-06-30,CLV001,MAT045,12216
2023-06-30,CLV001,MAT046,16613
2023-06-30,CLV001,MAT047,5749
2023-06-30,CLV001,MAT048,16232
2023-06-30,CLV001,MAT049,11317
2023-06-30,CLV001,MAT050,15592
2023-06-30,ATL001,MAT001,11449
2023-06-30,ATL001,MAT002,11095
2023-06-30,ATL001,MAT003,23564
2023-06-30,ATL001,MAT004,3607
2023-06-30,ATL001,MAT005,2926
2023-06-30,ATL001,MAT006,4804
2023-06-30,ATL001,MAT007,42
2023-06-30,ATL001,MAT008,5492
2023-06-30,ATL001,MAT009,6317
2023-06-30,ATL001,MAT010,13150
2023-06-30,ATL001,MAT011,8985
2023-06-30,ATL001,MAT012,4737
2023-06-30,ATL001,MAT013,11999
2023-06-30,ATL001,MAT014,11503
2023-06-30,ATL001,MAT015,12728
2023-06-30,ATL001,MAT016,11915
2023-06-30,ATL001,MAT017,5159
2023-06-30,ATL001,MAT018,10640
2023-06-30,ATL001,MAT019,8747
2023-06-30,ATL001,MAT020,7083
2023-06-30,ATL001,MAT021,11682
2023-06-30,ATL001,MAT022,648
2023-06-30,ATL001,MAT023,16142
2023-06-30,ATL001,MAT024,15913
2023-06-30,ATL001,MAT025,1193
2023-06-30,ATL001,MAT026,0
2023-06-30,ATL001,MAT027,6819
2023-06-30,ATL001,MAT028,6671
2023-06-30,ATL001,MAT029,7231
2023-06-30,ATL001,MAT030,2321
