po_id,order_date,plant_id,vendor_id,material_id,quantity,unit_price,expected_delivery_date,on_time,actual_delivery_date
PO00001,2023-01-01,ATL001,VEN020,MAT005,1845,27.3,2023-01-10,True,2023-01-10
PO00002,2023-01-01,ATL001,VEN016,MAT008,1662,32.66,2023-01-08,True,2023-01-08
PO00003,2023-01-01,ATL001,VEN008,MAT014,2179,25.38,2023-01-12,True,2023-01-12
PO00004,2023-01-02,ATL001,VEN002,MAT014,2249,19.91,2023-01-15,True,2023-01-15
PO00005,2023-01-03,CLV001,VEN008,MAT007,1736,5.41,2023-01-13,True,2023-01-13
PO00006,2023-01-03,CLV001,VEN011,MAT050,1903,17.08,2023-01-17,True,2023-01-17
PO00007,2023-01-03,ATL001,VEN002,MAT014,1659,19.91,2023-01-16,True,2023-01-16
PO00008,2023-01-03,ATL001,VEN019,MAT040,1176,14.86,2023-01-16,True,2023-01-16
PO00009,2023-01-03,ATL001,VEN008,MAT043,2851,41.39,2023-01-16,True,2023-01-16
PO00010,2023-01-04,CLV001,VEN011,MAT050,2202,17.08,2023-01-18,False,2023-01-24
PO00011,2023-01-04,ATL001,VEN002,MAT014,2107,19.91,2023-01-17,True,2023-01-17
PO00012,2023-01-04,ATL001,VEN013,MAT024,2348,8.77,2023-01-16,True,2023-01-16
PO00013,2023-01-04,ATL001,VEN019,MAT040,2506,14.86,2023-01-17,True,2023-01-17
PO00014,2023-01-05,CLV001,VEN013,MAT024,1498,8.77,2023-01-17,True,2023-01-17
PO00015,2023-01-05,CLV001,VEN002,MAT027,2456,36.18,2023-01-10,True,2023-01-10
PO00016,2023-01-05,CLV001,VEN011,MAT050,2944,17.08,2023-01-19,True,2023-01-19
PO00017,2023-01-05,ATL001,VEN013,MAT024,1012,8.77,2023-01-17,True,2023-01-17
PO00018,2023-01-05,ATL001,VEN011,MAT031,1925,38.26,2023-01-10,True,2023-01-10
PO00019,2023-01-05,ATL001,VEN019,MAT040,2096,14.86,2023-01-18,True,2023-01-18
PO00020,2023-01-06,CLV001,VEN004,MAT018,1525,30.27,2023-01-15,True,2023-01-15
PO00021,2023-01-06,ATL001,VEN013,MAT024,1810,8.77,2023-01-18,True,2023-01-18
PO00022,2023-01-06,ATL001,VEN019,MAT040,2198,14.86,2023-01-19,True,2023-01-19
PO00023,2023-01-07,CLV001,VEN010,MAT018,1912,27.46,2023-01-19,True,2023-01-19
PO00024,2023-01-07,CLV001,VEN011,MAT050,1018,17.08,2023-01-21,True,2023-01-21
PO00025,2023-01-07,ATL001,VEN013,MAT005,1154,23.2,2023-01-19,True,2023-01-19
PO00026,2023-01-07,ATL001,VEN002,MAT014,1363,19.91,2023-01-20,False,2023-01-24
PO00027,2023-01-07,ATL001,VEN013,MAT024,2702,8.77,2023-01-19,True,2023-01-19
PO00028,2023-01-07,ATL001,VEN019,MAT040,1903,14.86,2023-01-20,True,2023-01-20
PO00029,2023-01-07,ATL001,VEN008,MAT043,2039,41.39,2023-01-20,True,2023-01-20
PO00030,2023-01-08,CLV001,VEN014,MAT017,2551,12.07,2023-01-17,True,2023-01-17
PO00031,2023-01-08,CLV001,VEN010,MAT018,2449,27.46,2023-01-20,True,2023-01-20
PO00032,2023-01-08,CLV001,VEN017,MAT032,2487,24.11,2023-01-22,True,2023-01-22
PO00033,2023-01-08,CLV001,VEN011,MAT050,2820,17.08,2023-01-22,True,2023-01-22
PO00034,2023-01-08,ATL001,VEN013,MAT005,2957,23.2,2023-01-20,True,2023-01-20
PO00035,2023-01-08,ATL001,VEN002,MAT014,1553,19.91,2023-01-21,False,2023-01-30
PO00036,2023-01-08,ATL001,VEN010,MAT023,2505,20.49,2023-01-17,True,2023-01-17
PO00037,2023-01-08,ATL001,VEN013,MAT024,2500,8.77,2023-01-20,False,2023-01-23
PO00038,2023-01-08,ATL001,VEN007,MAT028,2703,40.61,2023-01-18,True,2023-01-18
PO00039,2023-01-08,ATL001,VEN019,MAT040,1799,14.86,2023-01-21,True,2023-01-21
PO00040,2023-01-08,ATL001,VEN008,MAT043,1534,41.39,2023-01-21,True,2023-01-21
PO00041,2023-01-09,CLV001,VEN014,MAT017,1523,12.07,2023-01-18,True,2023-01-18
PO00042,2023-01-09,CLV001,VEN010,MAT018,1098,27.46,2023-01-21,False,2023-01-29
PO00043,2023-01-09,CLV001,VEN019,MAT040,2332,14.86,2023-01-22,True,2023-01-22
PO00044,2023-01-09,ATL001,VEN010,MAT005,2958,26.84,2023-01-17,False,2023-01-25
PO00045,2023-01-09,ATL001,VEN011,MAT010,2767,51.99,2023-01-19,True,2023-01-19
PO00046,2023-01-09,ATL001,VEN002,MAT014,1379,19.91,2023-01-22,True,2023-01-22
PO00047,2023-01-09,ATL001,VEN010,MAT023,2659,20.49,2023-01-18,False,2023-01-27
PO00048,2023-01-09,ATL001,VEN007,MAT028,1527,40.61,2023-01-19,True,2023-01-19
PO00049,2023-01-09,ATL001,VEN019,MAT040,1777,14.86,2023-01-22,True,2023-01-22
PO00050,2023-01-09,ATL001,VEN008,MAT043,2151,41.39,2023-01-22,False,2023-01-25
PO00051,2023-01-09,ATL001,VEN001,MAT047,1696,27.79,2023-01-16,True,2023-01-16
PO00052,2023-01-09,ATL001,VEN018,MAT048,2194,30.1,2023-01-21,False,2023-01-27
PO00053,2023-01-10,CLV001,VEN008,MAT007,1431,5.41,2023-01-20,True,2023-01-20
PO00054,2023-01-10,CLV001,VEN016,MAT017,1872,16.0,2023-01-19,False,2023-01-27
PO00055,2023-01-10,CLV001,VEN010,MAT018,1922,27.46,2023-01-22,True,2023-01-22
PO00056,2023-01-10,CLV001,VEN016,MAT029,2232,16.89,2023-01-23,True,2023-01-23
PO00057,2023-01-10,CLV001,VEN016,MAT035,1510,13.88,2023-01-18,True,2023-01-18
PO00058,2023-01-10,CLV001,VEN002,MAT036,1242,45.27,2023-01-16,True,2023-01-16
PO00059,2023-01-10,CLV001,VEN019,MAT040,2322,14.86,2023-01-23,True,2023-01-23
PO00060,2023-01-10,CLV001,VEN011,MAT050,2951,17.08,2023-01-24,True,2023-01-24
PO00061,2023-01-10,ATL001,VEN002,MAT014,1433,19.91,2023-01-23,False,2023-01-27
PO00062,2023-01-10,ATL001,VEN010,MAT023,1100,20.49,2023-01-19,True,2023-01-19
PO00063,2023-01-10,ATL001,VEN001,MAT040,2597,19.14,2023-01-19,True,2023-01-19
PO00064,2023-01-10,ATL001,VEN008,MAT043,1156,41.39,2023-01-23,True,2023-01-23
PO00065,2023-01-10,ATL001,VEN018,MAT048,1873,30.1,2023-01-22,False,2023-01-29
PO00066,2023-01-11,CLV001,VEN008,MAT007,1337,5.41,2023-01-21,False,2023-01-28
PO00067,2023-01-11,CLV001,VEN014,MAT017,1395,12.07,2023-01-20,True,2023-01-20
PO00068,2023-01-11,CLV001,VEN010,MAT018,2387,27.46,2023-01-23,False,2023-02-01
PO00069,2023-01-11,CLV001,VEN002,MAT027,1904,36.18,2023-01-16,True,2023-01-16
PO00070,2023-01-11,CLV001,VEN007,MAT028,2716,40.61,2023-01-21,True,2023-01-21
PO00071,2023-01-11,CLV001,VEN016,MAT029,2816,16.89,2023-01-24,True,2023-01-24
PO00072,2023-01-11,CLV001,VEN009,MAT035,1370,13.65,2023-01-21,True,2023-01-21
PO00073,2023-01-11,CLV001,VEN002,MAT036,1967,45.27,2023-01-17,True,2023-01-17
PO00074,2023-01-11,CLV001,VEN001,MAT040,1406,19.14,2023-01-20,True,2023-01-20
PO00075,2023-01-11,ATL001,VEN005,MAT001,1999,23.11,2023-01-23,True,2023-01-23
PO00076,2023-01-11,ATL001,VEN008,MAT007,1279,5.41,2023-01-21,True,2023-01-21
PO00077,2023-01-11,ATL001,VEN011,MAT010,1992,51.99,2023-01-21,True,2023-01-21
PO00078,2023-01-11,ATL001,VEN002,MAT014,1638,19.91,2023-01-24,True,2023-01-24
PO00079,2023-01-11,ATL001,VEN010,MAT023,2618,20.49,2023-01-20,True,2023-01-20
PO00080,2023-01-11,ATL001,VEN013,MAT024,1774,8.77,2023-01-23,True,2023-01-23
PO00081,2023-01-11,ATL001,VEN007,MAT028,2064,40.61,2023-01-21,True,2023-01-21
PO00082,2023-01-11,ATL001,VEN008,MAT043,1769,41.39,2023-01-24,False,2023-02-01
PO00083,2023-01-12,CLV001,VEN008,MAT007,1750,5.41,2023-01-22,True,2023-01-22
PO00084,2023-01-12,CLV001,VEN014,MAT017,2353,12.07,2023-01-21,False,2023-01-29
PO00085,2023-01-12,CLV001,VEN010,MAT018,1886,27.46,2023-01-24,True,2023-01-24
PO00086,2023-01-12,CLV001,VEN010,MAT023,1857,20.49,2023-01-21,True,2023-01-21
PO00087,2023-01-12,CLV001,VEN005,MAT026,2216,9.69,2023-01-22,True,2023-01-22
PO00088,2023-01-12,CLV001,VEN007,MAT028,2193,40.61,2023-01-22,True,2023-01-22
PO00089,2023-01-12,CLV001,VEN016,MAT029,2822,16.89,2023-01-25,True,2023-01-25
PO00090,2023-01-12,CLV001,VEN002,MAT036,2794,45.27,2023-01-18,True,2023-01-18
PO00091,2023-01-12,CLV001,VEN001,MAT040,1910,19.14,2023-01-21,True,2023-01-21
PO00092,2023-01-12,CLV001,VEN004,MAT044,1605,5.95,2023-01-20,False,2023-01-25
PO00093,2023-01-12,CLV001,VEN018,MAT048,1148,30.1,2023-01-24,True,2023-01-24
PO00094,2023-01-12,CLV001,VEN016,MAT050,1864,22.16,2023-01-25,True,2023-01-25
PO00095,2023-01-12,ATL001,VEN010,MAT001,2484,24.75,2023-01-24,True,2023-01-24
PO00096,2023-01-12,ATL001,VEN003,MAT010,1938,53.08,2023-01-26,True,2023-01-26
PO00097,2023-01-12,ATL001,VEN017,MAT013,1799,18.48,2023-01-17,True,2023-01-17
PO00098,2023-01-12,ATL001,VEN008,MAT019,2584,44.38,2023-01-23,True,2023-01-23
PO00099,2023-01-12,ATL001,VEN010,MAT023,1149,20.49,2023-01-21,True,2023-01-21
PO00100,2023-01-12,ATL001,VEN007,MAT028,1370,40.61,2023-01-22,False,2023-01-27
PO00101,2023-01-12,ATL001,VEN013,MAT034,1504,16.76,2023-01-19,True,2023-01-19
PO00102,2023-01-12,ATL001,VEN010,MAT035,2612,12.66,2023-01-21,True,2023-01-21
PO00103,2023-01-12,ATL001,VEN019,MAT040,1832,14.86,2023-01-25,True,2023-01-25
PO00104,2023-01-12,ATL001,VEN008,MAT043,2529,41.39,2023-01-25,True,2023-01-25
PO00105,2023-01-12,ATL001,VEN006,MAT045,2640,12.63,2023-01-19,True,2023-01-19
PO00106,2023-01-12,ATL001,VEN014,MAT049,2828,38.33,2023-01-21,True,2023-01-21
PO00107,2023-01-13,CLV001,VEN015,MAT004,2872,11.44,2023-01-20,False,2023-01-26
PO00108,2023-01-13,CLV001,VEN010,MAT012,2040,4.58,2023-01-20,False,2023-01-24
PO00109,2023-01-13,CLV001,VEN010,MAT018,2865,27.46,2023-01-25,True,2023-01-25
PO00110,2023-01-13,CLV001,VEN005,MAT021,1252,5.75,2023-01-24,True,2023-01-24
PO00111,2023-01-13,CLV001,VEN010,MAT023,2486,20.49,2023-01-22,True,2023-01-22
PO00112,2023-01-13,CLV001,VEN008,MAT026,2814,10.82,2023-01-22,True,2023-01-22
PO00113,2023-01-13,CLV001,VEN007,MAT028,2245,40.61,2023-01-23,True,2023-01-23
PO00114,2023-01-13,CLV001,VEN010,MAT035,1085,12.66,2023-01-22,True,2023-01-22
PO00115,2023-01-13,CLV001,VEN002,MAT036,2862,45.27,2023-01-19,True,2023-01-19
PO00116,2023-01-13,CLV001,VEN014,MAT040,2119,16.2,2023-01-25,True,2023-01-25
PO00117,2023-01-13,CLV001,VEN006,MAT042,2248,5.59,2023-01-20,True,2023-01-20
PO00118,2023-01-13,CLV001,VEN008,MAT044,1658,5.79,2023-01-27,True,2023-01-27
PO00119,2023-01-13,CLV001,VEN018,MAT048,1603,30.1,2023-01-25,True,2023-01-25
PO00120,2023-01-13,CLV001,VEN011,MAT050,2722,17.08,2023-01-27,True,2023-01-27
PO00121,2023-01-13,ATL001,VEN010,MAT001,2099,24.75,2023-01-25,True,2023-01-25
PO00122,2023-01-13,ATL001,VEN012,MAT006,1924,27.66,2023-01-22,True,2023-01-22
PO00123,2023-01-13,ATL001,VEN008,MAT007,2372,5.41,2023-01-23,True,2023-01-23
PO00124,2023-01-13,ATL001,VEN011,MAT010,1793,51.99,2023-01-23,True,2023-01-23
PO00125,2023-01-13,ATL001,VEN017,MAT013,2731,18.48,2023-01-18,False,2023-01-23
PO00126,2023-01-13,ATL001,VEN010,MAT023,1742,20.49,2023-01-22,True,2023-01-22
PO00127,2023-01-13,ATL001,VEN013,MAT024,1005,8.77,2023-01-25,False,2023-01-31
PO00128,2023-01-13,ATL001,VEN005,MAT026,2614,9.69,2023-01-23,True,2023-01-23
PO00129,2023-01-13,ATL001,VEN007,MAT028,1072,40.61,2023-01-23,True,2023-01-23
PO00130,2023-01-13,ATL001,VEN013,MAT034,2784,16.76,2023-01-20,True,2023-01-20
PO00131,2023-01-13,ATL001,VEN010,MAT035,1910,12.66,2023-01-22,True,2023-01-22
PO00132,2023-01-13,ATL001,VEN008,MAT043,2784,41.39,2023-01-26,True,2023-01-26
PO00133,2023-01-14,CLV001,VEN011,MAT010,1660,51.99,2023-01-24,True,2023-01-24
PO00134,2023-01-14,CLV001,VEN010,MAT012,2836,4.58,2023-01-21,True,2023-01-21
PO00135,2023-01-14,CLV001,VEN014,MAT017,1849,12.07,2023-01-23,True,2023-01-23
PO00136,2023-01-14,CLV001,VEN010,MAT018,2048,27.46,2023-01-26,True,2023-01-26
PO00137,2023-01-14,CLV001,VEN005,MAT021,1622,5.75,2023-01-25,True,2023-01-25
PO00138,2023-01-14,CLV001,VEN010,MAT023,2061,20.49,2023-01-23,True,2023-01-23
PO00139,2023-01-14,CLV001,VEN005,MAT026,2685,9.69,2023-01-24,True,2023-01-24
PO00140,2023-01-14,CLV001,VEN007,MAT028,2599,40.61,2023-01-24,True,2023-01-24
PO00141,2023-01-14,CLV001,VEN016,MAT029,1267,16.89,2023-01-27,True,2023-01-27
PO00142,2023-01-14,CLV001,VEN010,MAT035,2635,12.66,2023-01-23,False,2023-01-27
PO00143,2023-01-14,CLV001,VEN002,MAT036,1834,45.27,2023-01-20,False,2023-01-28
PO00144,2023-01-14,CLV001,VEN019,MAT040,2744,14.86,2023-01-27,True,2023-01-27
PO00145,2023-01-14,CLV001,VEN006,MAT042,2911,5.59,2023-01-21,False,2023-01-26
PO00146,2023-01-14,CLV001,VEN008,MAT044,1259,5.79,2023-01-28,False,2023-02-06
PO00147,2023-01-14,CLV001,VEN018,MAT048,2608,30.1,2023-01-26,True,2023-01-26
PO00148,2023-01-14,CLV001,VEN011,MAT050,1332,17.08,2023-01-28,True,2023-01-28
PO00149,2023-01-14,ATL001,VEN005,MAT001,1426,23.11,2023-01-26,True,2023-01-26
PO00150,2023-01-14,ATL001,VEN012,MAT006,1578,27.66,2023-01-23,True,2023-01-23
PO00151,2023-01-14,ATL001,VEN008,MAT007,2884,5.41,2023-01-24,True,2023-01-24
PO00152,2023-01-14,ATL001,VEN016,MAT009,2831,13.23,2023-01-21,True,2023-01-21
PO00153,2023-01-14,ATL001,VEN017,MAT013,2960,18.48,2023-01-19,True,2023-01-19
PO00154,2023-01-14,ATL001,VEN010,MAT018,1103,27.46,2023-01-26,False,2023-02-01
PO00155,2023-01-14,ATL001,VEN002,MAT023,2886,23.46,2023-01-28,True,2023-01-28
PO00156,2023-01-14,ATL001,VEN013,MAT024,2388,8.77,2023-01-26,True,2023-01-26
PO00157,2023-01-14,ATL001,VEN007,MAT028,2573,40.61,2023-01-24,False,2023-01-29
PO00158,2023-01-14,ATL001,VEN013,MAT034,1606,16.76,2023-01-21,True,2023-01-21
PO00159,2023-01-14,ATL001,VEN013,MAT035,1623,14.98,2023-01-24,True,2023-01-24
PO00160,2023-01-14,ATL001,VEN008,MAT043,2829,41.39,2023-01-27,True,2023-01-27
PO00161,2023-01-14,ATL001,VEN018,MAT048,1455,30.1,2023-01-26,True,2023-01-26
PO00162,2023-01-14,ATL001,VEN014,MAT049,1710,38.33,2023-01-23,True,2023-01-23
PO00163,2023-01-15,CLV001,VEN015,MAT004,1528,11.44,2023-01-22,True,2023-01-22
PO00164,2023-01-15,CLV001,VEN016,MAT009,2359,13.23,2023-01-22,True,2023-01-22
PO00165,2023-01-15,CLV001,VEN011,MAT010,2789,51.99,2023-01-25,True,2023-01-25
PO00166,2023-01-15,CLV001,VEN010,MAT012,2723,4.58,2023-01-22,True,2023-01-22
PO00167,2023-01-15,CLV001,VEN005,MAT021,2268,5.75,2023-01-26,True,2023-01-26
PO00168,2023-01-15,CLV001,VEN005,MAT026,1402,9.69,2023-01-25,True,2023-01-25
PO00169,2023-01-15,CLV001,VEN007,MAT028,1650,40.61,2023-01-25,True,2023-01-25
PO00170,2023-01-15,CLV001,VEN010,MAT035,1445,12.66,2023-01-24,True,2023-01-24
PO00171,2023-01-15,CLV001,VEN002,MAT036,1092,45.27,2023-01-21,True,2023-01-21
PO00172,2023-01-15,CLV001,VEN019,MAT040,2401,14.86,2023-01-28,False,2023-02-02
PO00173,2023-01-15,CLV001,VEN018,MAT041,2112,35.78,2023-01-27,True,2023-01-27
PO00174,2023-01-15,CLV001,VEN012,MAT042,2823,6.09,2023-01-27,True,2023-01-27
PO00175,2023-01-15,CLV001,VEN008,MAT044,1170,5.79,2023-01-29,True,2023-01-29
PO00176,2023-01-15,CLV001,VEN003,MAT046,1880,33.38,2023-01-27,True,2023-01-27
PO00177,2023-01-15,CLV001,VEN007,MAT048,2341,31.89,2023-01-28,True,2023-01-28
PO00178,2023-01-15,CLV001,VEN011,MAT050,1359,17.08,2023-01-29,True,2023-01-29
PO00179,2023-01-15,ATL001,VEN005,MAT001,1640,23.11,2023-01-27,True,2023-01-27
PO00180,2023-01-15,ATL001,VEN016,MAT007,1631,5.68,2023-01-29,True,2023-01-29
PO00181,2023-01-15,ATL001,VEN016,MAT009,2339,13.23,2023-01-22,False,2023-01-26
PO00182,2023-01-15,ATL001,VEN003,MAT010,1885,53.08,2023-01-29,True,2023-01-29
PO00183,2023-01-15,ATL001,VEN017,MAT013,1890,18.48,2023-01-20,True,2023-01-20
PO00184,2023-01-15,ATL001,VEN004,MAT020,2275,12.21,2023-01-28,True,2023-01-28
PO00185,2023-01-15,ATL001,VEN010,MAT023,2340,20.49,2023-01-24,True,2023-01-24
PO00186,2023-01-15,ATL001,VEN004,MAT024,1270,10.1,2023-01-23,True,2023-01-23
PO00187,2023-01-15,ATL001,VEN007,MAT028,1718,40.61,2023-01-25,True,2023-01-25
PO00188,2023-01-15,ATL001,VEN019,MAT040,1292,14.86,2023-01-28,True,2023-01-28
PO00189,2023-01-15,ATL001,VEN006,MAT042,2531,5.59,2023-01-22,True,2023-01-22
PO00190,2023-01-15,ATL001,VEN019,MAT043,2447,42.84,2023-01-25,True,2023-01-25
PO00191,2023-01-15,ATL001,VEN007,MAT048,1446,31.89,2023-01-28,True,2023-01-28
PO00192,2023-01-15,ATL001,VEN014,MAT049,2256,38.33,2023-01-24,True,2023-01-24
PO00193,2023-01-16,CLV001,VEN011,MAT010,2518,51.99,2023-01-26,True,2023-01-26
PO00194,2023-01-16,CLV001,VEN007,MAT012,2941,5.06,2023-01-28,True,2023-01-28
PO00195,2023-01-16,CLV001,VEN017,MAT013,1659,18.48,2023-01-21,True,2023-01-21
PO00196,2023-01-16,CLV001,VEN013,MAT015,2170,42.34,2023-01-30,True,2023-01-30
PO00197,2023-01-16,CLV001,VEN014,MAT017,1685,12.07,2023-01-25,True,2023-01-25
PO00198,2023-01-16,CLV001,VEN014,MAT021,1988,6.39,2023-01-29,True,2023-01-29
PO00199,2023-01-16,CLV001,VEN010,MAT023,1233,20.49,2023-01-25,True,2023-01-25
PO00200,2023-01-16,CLV001,VEN005,MAT026,2417,9.69,2023-01-26,True,2023-01-26
PO00201,2023-01-16,CLV001,VEN007,MAT028,2247,40.61,2023-01-26,True,2023-01-26
PO00202,2023-01-16,CLV001,VEN016,MAT029,1097,16.89,2023-01-29,True,2023-01-29
PO00203,2023-01-16,CLV001,VEN011,MAT031,1148,38.26,2023-01-21,True,2023-01-21
PO00204,2023-01-16,CLV001,VEN003,MAT033,1161,27.78,2023-01-28,True,2023-01-28
PO00205,2023-01-16,CLV001,VEN010,MAT035,2801,12.66,2023-01-25,True,2023-01-25
PO00206,2023-01-16,CLV001,VEN019,MAT040,1782,14.86,2023-01-29,True,2023-01-29
PO00207,2023-01-16,CLV001,VEN008,MAT044,2602,5.79,2023-01-30,False,2023-02-08
PO00208,2023-01-16,CLV001,VEN002,MAT046,2578,40.26,2023-01-29,True,2023-01-29
PO00209,2023-01-16,CLV001,VEN018,MAT048,2283,30.1,2023-01-28,True,2023-01-28
PO00210,2023-01-16,CLV001,VEN011,MAT050,2705,17.08,2023-01-30,True,2023-01-30
PO00211,2023-01-16,ATL001,VEN005,MAT001,2488,23.11,2023-01-28,True,2023-01-28
PO00212,2023-01-16,ATL001,VEN015,MAT004,2621,11.44,2023-01-23,True,2023-01-23
PO00213,2023-01-16,ATL001,VEN012,MAT006,2626,27.66,2023-01-25,True,2023-01-25
PO00214,2023-01-16,ATL001,VEN016,MAT007,2761,5.68,2023-01-30,True,2023-01-30
PO00215,2023-01-16,ATL001,VEN016,MAT009,1914,13.23,2023-01-23,True,2023-01-23
PO00216,2023-01-16,ATL001,VEN011,MAT010,2188,51.99,2023-01-26,True,2023-01-26
PO00217,2023-01-16,ATL001,VEN017,MAT013,1285,18.48,2023-01-21,True,2023-01-21
PO00218,2023-01-16,ATL001,VEN004,MAT020,1589,12.21,2023-01-29,True,2023-01-29
PO00219,2023-01-16,ATL001,VEN010,MAT023,2789,20.49,2023-01-25,True,2023-01-25
PO00220,2023-01-16,ATL001,VEN002,MAT027,1850,36.18,2023-01-21,True,2023-01-21
PO00221,2023-01-16,ATL001,VEN007,MAT028,1474,40.61,2023-01-26,True,2023-01-26
PO00222,2023-01-16,ATL001,VEN016,MAT035,1661,13.88,2023-01-24,False,2023-01-31
PO00223,2023-01-16,ATL001,VEN019,MAT040,1523,14.86,2023-01-29,True,2023-01-29
PO00224,2023-01-16,ATL001,VEN012,MAT042,1269,6.09,2023-01-28,True,2023-01-28
PO00225,2023-01-16,ATL001,VEN008,MAT044,2042,5.79,2023-01-30,True,2023-01-30
PO00226,2023-01-16,ATL001,VEN018,MAT048,1761,30.1,2023-01-28,True,2023-01-28
PO00227,2023-01-16,ATL001,VEN014,MAT049,2729,38.33,2023-01-25,True,2023-01-25
PO00228,2023-01-17,CLV001,VEN005,MAT001,2189,23.11,2023-01-29,True,2023-01-29
PO00229,2023-01-17,CLV001,VEN015,MAT004,2040,11.44,2023-01-24,True,2023-01-24
PO00230,2023-01-17,CLV001,VEN016,MAT008,2718,32.66,2023-01-24,True,2023-01-24
PO00231,2023-01-17,CLV001,VEN016,MAT009,2083,13.23,2023-01-24,True,2023-01-24
PO00232,2023-01-17,CLV001,VEN003,MAT010,2175,53.08,2023-01-31,True,2023-01-31
PO00233,2023-01-17,CLV001,VEN006,MAT012,1998,4.86,2023-01-23,True,2023-01-23
PO00234,2023-01-17,CLV001,VEN003,MAT013,2091,19.37,2023-01-23,True,2023-01-23
PO00235,2023-01-17,CLV001,VEN013,MAT015,2840,42.34,2023-01-31,True,2023-01-31
PO00236,2023-01-17,CLV001,VEN016,MAT018,1378,36.17,2023-01-27,True,2023-01-27
PO00237,2023-01-17,CLV001,VEN005,MAT021,1539,5.75,2023-01-28,True,2023-01-28
PO00238,2023-01-17,CLV001,VEN010,MAT023,1910,20.49,2023-01-26,True,2023-01-26
PO00239,2023-01-17,CLV001,VEN008,MAT026,2057,10.82,2023-01-26,True,2023-01-26
PO00240,2023-01-17,CLV001,VEN007,MAT028,1768,40.61,2023-01-27,True,2023-01-27
PO00241,2023-01-17,CLV001,VEN011,MAT029,2400,20.71,2023-01-22,True,2023-01-22
PO00242,2023-01-17,CLV001,VEN011,MAT031,1585,38.26,2023-01-22,True,2023-01-22
PO00243,2023-01-17,CLV001,VEN003,MAT033,1642,27.78,2023-01-29,True,2023-01-29
PO00244,2023-01-17,CLV001,VEN013,MAT034,2109,16.76,2023-01-24,True,2023-01-24
PO00245,2023-01-17,CLV001,VEN010,MAT035,1488,12.66,2023-01-26,True,2023-01-26
PO00246,2023-01-17,CLV001,VEN015,MAT037,2314,33.15,2023-01-24,True,2023-01-24
PO00247,2023-01-17,CLV001,VEN019,MAT040,1823,14.86,2023-01-30,True,2023-01-30
PO00248,2023-01-17,CLV001,VEN018,MAT041,1010,35.78,2023-01-29,True,2023-01-29
PO00249,2023-01-17,CLV001,VEN006,MAT042,1361,5.59,2023-01-24,False,2023-01-30
PO00250,2023-01-17,CLV001,VEN008,MAT044,1618,5.79,2023-01-31,True,2023-01-31
PO00251,2023-01-17,CLV001,VEN015,MAT046,1341,35.28,2023-01-30,True,2023-01-30
PO00252,2023-01-17,CLV001,VEN018,MAT048,1955,30.1,2023-01-29,True,2023-01-29
PO00253,2023-01-17,ATL001,VEN005,MAT001,1278,23.11,2023-01-29,True,2023-01-29
PO00254,2023-01-17,ATL001,VEN017,MAT004,2562,12.83,2023-01-25,True,2023-01-25
PO00255,2023-01-17,ATL001,VEN012,MAT006,2486,27.66,2023-01-26,True,2023-01-26
PO00256,2023-01-17,ATL001,VEN008,MAT007,2711,5.41,2023-01-27,True,2023-01-27
PO00257,2023-01-17,ATL001,VEN016,MAT009,1382,13.23,2023-01-24,True,2023-01-24
PO00258,2023-01-17,ATL001,VEN008,MAT020,1412,11.26,2023-01-25,True,2023-01-25
PO00259,2023-01-17,ATL001,VEN002,MAT027,1440,36.18,2023-01-22,True,2023-01-22
PO00260,2023-01-17,ATL001,VEN002,MAT030,1148,13.22,2023-01-31,True,2023-01-31
