communication_id,date,vendor_id,direction,subject,message
COMM0001,2023-01-01,VEN009,from_vendor,New Rep Introduction,Hi! My name is Alex and I'm the new account manager for your region. Really excited to work with you! I've been reviewing your account and would love to set up an intro call. What's your availability like next week?
COMM0002,2023-01-02,VEN008,from_vendor,RE: Question about order,Let me check with the warehouse and get back to you this afternoon.
COMM0003,2023-01-03,VEN010,from_vendor,Shipping Error,"Ugh, so sorry but we made a mistake on your last shipment - sent you 500 units of MAT012 instead of MAT037. Can we arrange a swap? Our driver can pick up the wrong items when he delivers the correct ones."
COMM0004,2023-01-17,VEN011,from_vendor,RE: Expected Delivery,About your question on when PO00010 will arrive - we're running behind schedule due to some customs documentation issues. The paperwork got held up and now we're looking at an extra 6 days before it clears. Should be resolved soon but wanted to keep you in the loop. Let me know if this creates problems.
COMM0005,2023-01-04,VEN004,to_vendor,New Rep Introduction,Hi! My name is Alex and I'm the new account manager for your region. Really excited to work with you! I've been reviewing your account and would love to set up an intro call. What's your availability like next week?
COMM0006,2023-01-05,VEN018,from_vendor,New Contact Info,Hi everyone! Quick update - I've moved to a new role and Sarah Johnson will be your main point of contact going forward. She's great and I'm leaving you in good hands. My new email is below if you ever need to reach me. Best of luck!
COMM0007,2023-01-06,VEN013,from_vendor,New Rep Introduction,Hi! My name is Alex and I'm the new account manager for your region. Really excited to work with you! I've been reviewing your account and would love to set up an intro call. What's your availability like next week?
COMM0008,2023-01-07,VEN010,from_vendor,Product Hold Notice,"PRODUCT HOLD
Batch: 4867
Product: MAT041
Reason: Failed stability testing
Action: Dispose immediately

This batch has shown accelerated degradation in stability testing. Product quality cannot be guaranteed. Please confirm disposal and quantity for credit processing."
COMM0009,2023-01-19,VEN002,from_vendor,Delivery Update - PO00026,Hi! So sorry about this but we're running into some issues with PO00026. Our main truck broke down and we're scrambling to find alternative transport. Looking at maybe 4 extra days? Will keep you posted. Really apologize for the inconvenience!
COMM0010,2023-01-07,VEN014,from_vendor,RE: Follow up,"Hey, did you get my voicemail from yesterday? Give me a call when you have a chance. Thanks!"
COMM0011,2023-01-20,VEN002,from_vendor,Carrier Delay Notice,Our carrier just notified us that PO00035 is stuck in their hub due to sorting equipment failure. They're manually processing everything which is taking forever. Estimate is 9 additional days before delivery. I'm considering switching carriers if this keeps happening. Sorry for the hassle!
COMM0012,2023-01-19,VEN013,from_vendor,Supply Chain Disruption,"Hi, we're experiencing a major supply chain disruption affecting multiple orders including PO00037. One of our key suppliers had a facility fire and we're scrambling to source materials elsewhere. Your order will be delayed approximately 3 days. I'll keep you posted as the situation develops."
COMM0013,2023-01-08,VEN009,from_vendor,Survey Request,We're always looking to improve! Would you mind taking 2 minutes to fill out our customer satisfaction survey? Your feedback really helps us serve you better. Link: [survey link]. Thanks in advance!
COMM0014,2023-01-20,VEN010,from_vendor,RE: Delivery Schedule,About PO00042 - we had to re-route the shipment due to road closures from the storm. The detour adds significant time and we're now looking at 8 extra days for delivery. Driver is making good progress but weather is still causing issues. Will update you when I have better visibility.
COMM0015,2023-01-16,VEN010,from_vendor,Shipment Status Update,"Hi, checking in about PO00044. Unfortunately we're experiencing delays due to severe weather in the region. All shipments are backed up by about 8 days. Once the weather clears we'll get everything moving again. I'll send tracking info as soon as it ships. Thanks for your patience!"
COMM0016,2023-01-17,VEN010,from_vendor,Regulatory Inspection Delay,We had an unscheduled regulatory inspection this week that shut down production for 2 days. Everything passed but it put us way behind. PO00047 is now delayed by 9 days. New estimated delivery is 01/27/2023. Let me know if this creates problems and we can discuss options.
COMM0017,2023-01-21,VEN008,from_vendor,Transportation Issue - PO00050,"We have a transportation problem with PO00050. The freight company lost your shipment in their system (yes, really) and it took us 2 days to locate it. Now we're 3 days behind the original schedule. Tracking number will be sent once it's actually on a truck. This is embarrassing and I apologize."
COMM0018,2023-01-20,VEN018,from_vendor,Production Backlog Alert,"PRODUCTION BACKLOG ALERT

Order: PO00052
Status: Delayed
Reason: Unexpected surge in demand
Additional Time Needed: 6 days
New ETA: 01/27/2023

We are working overtime to catch up. Please advise if this delay creates critical issues for your operations."
COMM0019,2023-01-09,VEN016,to_vendor,Product Discontinuation,"Unfortunately we're discontinuing SKU #7238 due to low demand. If this is something you regularly order, let me know ASAP and we can discuss alternatives or do a final bulk order."
COMM0020,2023-01-09,VEN001,from_vendor,Urgent: Recall,"URGENT - We've identified a potential contamination issue with batch B-6724. If you received this batch (shipped between 12/26 and 01/02), please quarantine immediately and contact us. Full details in attached notice."
COMM0021,2023-01-10,VEN018,from_vendor,FW: Recall Notice - MAT035,"---------- Forwarded message ---------
From: QA Department
Date: Tue, Jan 10, 2023
Subject: Recall Notice

Attention: Batch 3042 of MAT035 has failed our internal quality standards. All customers who received this batch should dispose of remaining inventory immediately. Contact customer service for replacement or refund."
COMM0022,2023-01-18,VEN016,from_vendor,Fuel Shortage Impact,"Believe it or not, there's a regional fuel shortage affecting all carriers in the area. Our freight company is rationing deliveries and PO00054 got pushed back. Looking at 8 additional days. This is completely out of our control but I wanted to keep you informed. Frustrating situation for everyone."
COMM0023,2023-01-22,VEN002,from_vendor,Order Status - PO00061,Quick update on your order - we had a production hiccup (equipment maintenance took longer than expected) so PO00061 is going to be late. Should be about 4 days behind schedule. Let me know if this is a problem and we can try to expedite. Thanks for understanding!
COMM0024,2023-01-21,VEN018,from_vendor,Third Party Logistics Issue,Our 3PL partner just informed us they have a backlog due to staffing issues. PO00065 is sitting in their warehouse waiting to be processed and shipped. They're saying 7 days until they can get to it. I'm escalating with their management but wanted you to know what's happening. -Chris
COMM0025,2023-01-10,VEN012,to_vendor,RE: Last week,Thanks for the quick turnaround on that! Really appreciate it. Talk soon.
COMM0026,2023-01-10,VEN018,from_vendor,Quality Certificate,Attached please find the Q1 quality certifications and lab reports for your records. Everything passed with flying colors. Let me know if you need anything else for your compliance files.
COMM0027,2023-01-20,VEN008,from_vendor,Order PO00066 Update,"Hey! So we ran into a snag with PO00066. Our warehouse management system went down yesterday and we lost a day of processing. Then this morning the loading dock equipment malfunctioned. Long story short, we're about 7 days behind. Everything is back to normal now but the damage is done. Really sorry about this!"
COMM0028,2023-01-22,VEN010,from_vendor,Delivery Postponed,Unfortunately I have to let you know that PO00068 won't make the original delivery date. We're dealing with a driver shortage and can't get a truck scheduled until next week. This adds about 9 days to the timeline. I'm really sorry - this has been a recurring issue with our carrier lately. Might be time to switch.
COMM0029,2023-01-23,VEN008,from_vendor,RE: PO00082 Status,"Just got an update from the plant - PO00082 is delayed because we had a power outage yesterday that shut down production for 8 hours. Combined with some other issues, we're looking at 8 extra days. I know this isn't what you want to hear. Let me know if you need me to escalate internally."
COMM0030,2023-01-11,VEN013,from_vendor,Urgent: Recall,"URGENT - We've identified a potential contamination issue with batch B-8173. If you received this batch (shipped between 12/28 and 01/04), please quarantine immediately and contact us. Full details in attached notice."
COMM0031,2023-01-20,VEN014,from_vendor,Packaging Material Shortage,Bad news - we're out of packaging materials and our supplier can't deliver until next week. This means PO00084 is sitting in our warehouse ready to go but we can't ship it. Looking at 8 days delay. I know this is ridiculous. We're implementing better inventory controls to prevent this in the future.
COMM0032,2023-01-19,VEN004,from_vendor,FW: Warehouse Capacity Issue,"---------- Forwarded message ---------
From: Operations
Subject: Warehouse at capacity

All outbound shipments delayed 5 days due to warehouse capacity constraints. Cannot load trucks until space clears.

---
This affects your order PO00092. Not ideal but we're working through it. -Steve"
COMM0033,2023-01-21,VEN007,from_vendor,Order PO00100 Update,"Hey! So we ran into a snag with PO00100. Our warehouse management system went down yesterday and we lost a day of processing. Then this morning the loading dock equipment malfunctioned. Long story short, we're about 5 days behind. Everything is back to normal now but the damage is done. Really sorry about this!"
COMM0034,2023-01-12,VEN004,from_vendor,RE: Last week,Thanks for the quick turnaround on that! Really appreciate it. Talk soon.
COMM0035,2023-01-19,VEN015,from_vendor,Delivery Postponed,Unfortunately I have to let you know that PO00107 won't make the original delivery date. We're dealing with a driver shortage and can't get a truck scheduled until next week. This adds about 6 days to the timeline. I'm really sorry - this has been a recurring issue with our carrier lately. Might be time to switch.
COMM0036,2023-01-19,VEN010,from_vendor,Transportation Issue - PO00108,"We have a transportation problem with PO00108. The freight company lost your shipment in their system (yes, really) and it took us 2 days to locate it. Now we're 4 days behind the original schedule. Tracking number will be sent once it's actually on a truck. This is embarrassing and I apologize."
COMM0037,2023-01-17,VEN017,from_vendor,RE: Expected Delivery,About your question on when PO00125 will arrive - we're running behind schedule due to some customs documentation issues. The paperwork got held up and now we're looking at an extra 5 days before it clears. Should be resolved soon but wanted to keep you in the loop. Let me know if this creates problems.
COMM0038,2023-01-24,VEN013,from_vendor,RE: Delivery Schedule,About PO00127 - we had to re-route the shipment due to road closures from the storm. The detour adds significant time and we're now looking at 6 extra days for delivery. Driver is making good progress but weather is still causing issues. Will update you when I have better visibility.
